thread_number,metadent_upper,metadent_lower,first_post_id,title,discovered_at
1777128207,0glg,pIho,pIhkhN8Eo,月村手毬←こいつが廃れた理由,2026-04-25T14:43:35.617Z
1777128199,1a2z,.N4B,.N4bfcaUB,ど田舎の田んぼ道を全裸で歩く時のスリル,2026-04-25T14:43:37.023Z
1777128191,pJam,90aA,90aT5SCHA,夜食食べるよぉ&#129317;,2026-04-25T14:43:38.185Z
1777128184,NN93,fhsL,fhs57AMiL,10キロ走ってきたよ&#129402;&#128168;,2026-04-25T14:43:38.579Z
1777128162,y6/c,mmBG,mmBs0F6.G,【フジ】時光代理人,2026-04-25T14:43:36.196Z
1777128150,Id2a,8KBk,8KBhUxXWk,インスタのリールしょうもない人間しか出てこない&#129402;,2026-04-25T14:43:37.618Z
1777128137,YeXA,hAkd,hAknB3SGd,【衝撃】天才ワイ、休日が1.5倍になる裏技を発見してしまうｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,2026-04-25T14:43:39.184Z
1777128136,jIVi,lpDq,lpDaZRfMq,ルヒィ「たとえ国籍が日本人でも心まで日本人になるな！」,2026-04-25T14:43:41.748Z
1777128128,KoTd,ndx9,ndxP3JjW9,結局Xからの転載スレが一番伸びるよね,2026-04-25T14:43:41.955Z
1777128123,15KX,vX/3,vX/RwYVP3,ミセス大森って誰かに似てるんだよな,2026-04-25T14:43:42.348Z
1777128120,fuB6,nF2T,nF2dtCxuT,ZETA DIVISIONとかいうプロゲーミングチーム,2026-04-25T14:43:36.820Z
1777128116,Tpsu,70G8,70GAin9D8,世界でもっとも沢山の人に顔を覚えられてる人って誰やと思う？,2026-04-25T14:43:41.149Z
1777128086,gBJA,lTxu,lTxU0wNWu,【朗報】中日尾田、守備についただけでニュースになる,2026-04-25T14:43:39.756Z
1777128081,k4Z7,feCC,feCSdqhnC,X（旧Twitter）のインプレゾンビの対策、無視かNGかミュートどれが良いか分からないんやが,2026-04-25T14:43:42.771Z
1777128078,brM6,/MwT,/MwjoOIjT,ウェザーニュースに戸北美月っておるやん,2026-04-25T14:43:40.152Z
1777128068,HIaq,UqQV,UqQceNj5V,エッヂスマブラ部   3,2026-04-25T14:43:35.417Z
1777128063,fseF,Vep7,VepE.sog7,【悲報画像】ドラミちゃん、ガチで公式ビッチだった…,2026-04-25T14:43:36.606Z
1777128058,fV3H,xEj1,xEjT0R5Y1,ufotable｢テイルズオブシリーズの新情報を発表します！」ワイ｢アニメかな？ソシャゲかな？」 ,2026-04-25T14:43:43.376Z
1777128050,e7ZH,aGtU,aGtUl5PwU,箕輪厚介「ひろゆきにキスした」,2026-04-25T14:43:43.160Z
1777128038,bk2r,GRUL,GRURx6LdL,【悲報】ポムポムプリンさん、入浴中に勃起してしまう。,2026-04-25T14:43:40.743Z
1777128037,02mn,KYeh,KYejMOoOh,エッヂ、彼女が貧乳部,2026-04-25T14:43:39.948Z
1777128035,KV6d,8euO,8eubag0dO,【悲報】ネトウヨ、Xで外人に嫌われまくってしまうWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW,2026-04-25T14:43:37.981Z
1777128033,bb95,gPUR,gPUHrqT4R,天国はあると信じた方がいいよね&#129402;,2026-04-25T14:43:40.540Z
1777128032,lzzo,Te3B,Te3SQqM2B,女特有の「虎の威を借る狐」精神ｗｗｗｗｗ,2026-04-25T14:43:44.361Z
1777128006,tcR1,I5dC,I5doiK6rC,お前らってデリヘル嬢の鎖骨舐めたことある？,2026-04-25T14:43:44.751Z
1777128004,/0jj,K1GD,K1GFrEcAD,押すと150円失うが500mlのジュースが出てくるボタン,2026-04-25T14:43:42.162Z
1777127999,flsN,7PoC,7PocTd8RC,ルフィ「おい！お前仲間になれ！」後藤ひとり「えっ？あっ、あのっ…は、はい…」,2026-04-25T14:43:38.780Z
1777127991,RGoZ,Jeqd,JeqzkPimd,正直よくわかってない野球のルール、仕組み,2026-04-25T14:43:38.385Z
1777127989,jliR,1Pp0,1PpBwXGZ0,デケ～乳しばきたい,2026-04-25T14:43:45.361Z
1777127985,ZQiu,Vo5D,Vo5d4R0GD,老人「一時期、ラノベとかエロゲとかで妹キャラばかり人気だった時代があったのじゃ…」ぼく「ふーん、それで？」,2026-04-25T14:43:45.552Z
1777127972,Pjea,AUoe,AUo9vpLbe,寝るけど&#129402;,2026-04-25T14:43:36.407Z
1777127971,euo1,BGOW,BGO4IIxSW,やがどうなんやがやがどうなんやがどうなんやがやがどうなん,2026-04-25T14:43:45.743Z
1777127956,YxBW,5C2A,5C2YSkOTA,ニートの「髪伸びる→美容院怖い→もっと伸びる→外怖い」現象,2026-04-25T14:43:37.423Z
1777127947,EN9i,rp4i,rp4OXtNWi,京セラで牧野真莉愛さんが日ハムの応援してたんだが&#128528;,2026-04-25T14:43:43.571Z
1777127921,NxbO,6U.D,6U.TwC57D,今日もすいすいで抜いた&#9748;,2026-04-25T14:43:44.562Z
1777127912,iP0R,T753,T75.ppfw3,【悲報】絵文字の「&#128545;」、インターネット一部界隈ではペドフィリアのシンボルになっていたｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,2026-04-25T14:43:44.167Z
1777127891,0LGt,GRUL,GRURx6LdL,【悲報】メルカリのアカウントとメルカリ用につくったメールアドレスのアカウントわすれた,2026-04-25T14:43:45.165Z
